vid,score,label
g3217j6g739,0.3571428571428571,A1B2_A2B1
t3218e0rnvv,0.1875,A1B2_A2B1
b3217pnbhea,0.0,A1B2_A2B1
u3219mrntup,0.3453815261044177,A1B2_A2B1
l1437ndrk8y,0.375,A1B2_A2B1
s1437msz0sz,0.1356837606837606,A1B2_A2B1
z3219c7b73u,0.0,A1B2_A2B1
c3218fsoxry,0.3,A1B2_A2B1
h32170cz1sa,0.064516129032258,A1B2_A2B1
p3217u5xose,0.375,A1B2_A2B1
k3217oqgajh,0.375,A1B2_A2B1
h3221sc0uox,0.3535353535353535,A1B2_A2B1
h3218pykrml,0.1538461538461538,A1B2_A2B1
l3217ps97n6,0.0461538461538461,A1B2_A2B1
q3219n3g6p8,0.0,A1B2_A2B1
r3219hgcd5h,0.3093525179856115,A1B2_A2B1
k32179a9uqw,0.3333333333333333,A1B2_A2B1
g3216epk0x9,0.2,A1B2_A2B1
g3211i1nwkv,0.0833333333333333,A1B2_A2B1
f3211yvgoc4,0.0416666666666666,A1B2_A2B1
i3100dx9ntb,0.2352941176470588,A1B2_A2B1
b3115tpvrjn,0.0,A1B2_A2B1
l30786k6od9,0.1111111111111111,A1B2_A2B1
w3101ti84ws,0.0,A1B2_A2B1
z3107zax589,0.0,A1B2_A2B1
k3081vds141,0.0,A1B2_A2B1
p3150r01m4f,0.0,A1B2_A2B1
f31147p0573,0.0,A1B2_A2B1
n09761zu9qx,0.3076923076923077,A1B2_A2B1
x3108zgdmle,0.0,A1B2_A2B1
n0977tr3o4l,0.1818181818181818,A1B2_A2B1
n0979cr8dti,0.25,A1B2_A2B1
c3080jmn3up,0.0,A1B2_A2B1
c3149n66h8w,0.0088495575221238,A1B2_A2B1
a3103rqmm5e,0.0833333333333333,A1B2_A2B1
a3202w5mdmd,0.3804347826086957,A1B2_A2B1
c31604jmcev,0.0977443609022556,A1B2_A2B1
j3205f7322c,0.1428571428571428,A1B2_A2B1
d3232nklyvr,0.2481203007518796,A1B2_A2B1
m3232t32ddi,0.1666666666666666,A1B2_A2B1
l3232rk0rdd,0.1538461538461538,A1B2_A2B1
t3232qd28q6,0.0666666666666666,A1B2_A2B1
u3232xn8cdy,0.2809917355371901,A1B2_A2B1
w3232kn7c6o,0.0555555555555555,A1B2_A2B1
g3229nsf0db,0.2666666666666666,A1B2_A2B1
t3227p6i5mj,0.0,A1B2_A2B1
d32309pw4hp,0.0,A1B2_A2B1
h3230nzgfgn,0.1111111111111111,A1B2_A2B1
k3226cw935q,0.3111111111111111,A1B2_A2B1
f32269w8bxk,0.3076923076923077,A1B2_A2B1
o32308u65qa,0.3333333333333333,A1B2_A2B1
d3219tplknc,2.0,C1B2_C2B1
e3109zejarr,1.751937984496124,C1B2_C2B1
k3103o6hgz6,1.934640522875817,C1B2_C2B1
h3079fmj5cr,1.6,C1B2_C2B1
j3101syla3i,1.564102564102564,C1B2_C2B1
f3082mdv0ab,1.5172413793103448,C1B2_C2B1
r3119pa3i57,2.0,C1B2_C2B1
p3108qdu7rf,1.7804878048780488,C1B2_C2B1
v3115xmqodj,1.5,C1B2_C2B1
u3111n6x38c,2.0,C1B2_C2B1
j31011vbvzt,1.5916230366492146,C1B2_C2B1
u3122ndcaa8,1.875,C1B2_C2B1
f0034gvzlbw,1.5714285714285714,C1B2_C2B1
o3113jwiiiv,1.9361702127659572,C1B2_C2B1
d3078rotrlj,1.9428571428571428,C1B2_C2B1
d31114is1yv,1.5555555555555556,C1B2_C2B1
k0975rg38ly,1.8888888888888888,C1B2_C2B1
h3117u5jgd0,1.5326086956521738,C1B2_C2B1
v3106ybdn6h,2.0,C1B2_C2B1
q3124k49rpl,1.6206896551724137,C1B2_C2B1
u3117nnwh41,1.6428571428571428,C1B2_C2B1
g3110o3z94b,1.6388888888888888,C1B2_C2B1
f3149eygslv,1.8985507246376807,C1B2_C2B1
o3111w0iksu,2.0,C1B2_C2B1
l3103tqcpcw,1.5,C1B2_C2B1
n30798bga01,1.7,C1B2_C2B1
c32178qj1ej,1.8421052631578947,C1B2_C2B1
g3217ccqazq,2.0,C1B2_C2B1
g3217d1sr88,1.588235294117647,C1B2_C2B1
k3217v95o7o,1.6,C1B2_C2B1
a3218u41ubs,1.9,C1B2_C2B1
k3218iifvwx,1.873462214411248,C1B2_C2B1
u3218tlo596,1.6041666666666667,C1B2_C2B1
m3220anfytb,1.7826086956521738,C1B2_C2B1
y3220e1gmvd,1.8,C1B2_C2B1
s32202k2msd,1.5506072874493928,C1B2_C2B1
a3220k5gkg8,1.5,C1B2_C2B1
e3218pvyy4n,1.9090909090909087,C1B2_C2B1
a3218huwg34,2.0,C1B2_C2B1
b3218ua1ciq,1.8103448275862069,C1B2_C2B1
h321816787e,2.0,C1B2_C2B1
m3218q11lpn,1.75,C1B2_C2B1
w3218atyfw2,1.5,C1B2_C2B1
u3219qx1krr,1.6,C1B2_C2B1
f3219nln7q9,1.8,C1B2_C2B1
v3218ffkana,1.5,C1B2_C2B1
i3218b5eimu,1.6363636363636365,C1B2_C2B1
q3218tp1kl7,1.9,C1B2_C2B1
i00352i7ikj,1.5625,C1B2_C2B1
b3218iexxmg,1.6,C1B2_C2B1
k3217gw5tdo,2.0,C1B2_C2B1
a32173flk8l,2.0,C1B2_C2B1
h3217sru4he,1.5949367088607596,C1B2_C2B1
p3217bh2q0a,1.96875,C1B2_C2B1
b3221di5wnc,1.5,C1B2_C2B1
m3219wjz4zh,1.8682634730538925,C1B2_C2B1
c3221i8007j,2.0,C1B2_C2B1
b3220376aqp,1.8,C1B2_C2B1
x3221h1pvxw,2.0,C1B2_C2B1
s3219rvarvf,1.5,C1B2_C2B1
z3218qccmlp,1.8571428571428568,C1B2_C2B1
z3218zhipe6,1.8461538461538465,C1B2_C2B1
s3218oyyu33,1.75,C1B2_C2B1
j32184p2owq,1.5263157894736843,C1B2_C2B1
a3218tfdznc,1.7178841309823678,C1B2_C2B1
i3218e40nv4,1.5294117647058822,C1B2_C2B1
w32199b5ve9,1.6,C1B2_C2B1
w32191lb52p,2.0,C1B2_C2B1
b3218xaxy2t,1.5454545454545454,C1B2_C2B1
e3217pu0syq,1.8604651162790695,C1B2_C2B1
j32196c5onm,1.5,C1B2_C2B1
t32170fr1ug,1.5,C1B2_C2B1
t3217q4wlx9,1.7142857142857142,C1B2_C2B1
l3217307fa8,1.7272727272727273,C1B2_C2B1
f3217oi836n,2.0,C1B2_C2B1
s3216it3fpy,1.5,C1B2_C2B1
s3216x9jhk7,1.7777777777777777,C1B2_C2B1
c3216brjgjv,2.0,C1B2_C2B1
i3216hq7wlq,1.5,C1B2_C2B1
s3216cjgfdk,1.9230769230769231,C1B2_C2B1
m32164jio0y,2.0,C1B2_C2B1
w3216er2m4b,2.0,C1B2_C2B1
j3216tb1yt8,1.5,C1B2_C2B1
k32158o1ex4,1.9375,C1B2_C2B1
m3036bajp7h,1.6285714285714286,C1B2_C2B1
a3215xcwnf4,1.7272727272727273,C1B2_C2B1
i3215x5ogzj,1.5,C1B2_C2B1
y32156r5lit,1.8148148148148149,C1B2_C2B1
q3214b7q900,2.0,C1B2_C2B1
b321470lnac,2.0,C1B2_C2B1
k3221wtl95n,1.5,C1B2_C2B1
s32143mdh8z,1.6363636363636365,C1B2_C2B1
q3214ywdf85,2.0,C1B2_C2B1
x3214bjl8ry,1.9333333333333331,C1B2_C2B1
y3214p1kz5h,1.5333333333333334,C1B2_C2B1
m3214bwv8s5,1.9166666666666667,C1B2_C2B1
s3214zzv827,1.8888888888888888,C1B2_C2B1
x32147fkykj,2.0,C1B2_C2B1
i32141r3qe9,1.6,C1B2_C2B1
p32139qp4kb,2.0,C1B2_C2B1
c321397vffw,1.6,C1B2_C2B1
e32136spkwj,1.8666666666666667,C1B2_C2B1
r3213bi27qa,1.9230769230769231,C1B2_C2B1
r3213eat1t8,1.5833333333333333,C1B2_C2B1
a3213p2649w,1.6666666666666667,C1B2_C2B1
e3213m0tqs7,1.6233333333333333,C1B2_C2B1
g3213j3jt9k,1.7777777777777777,C1B2_C2B1
e3213zeh8e6,1.6,C1B2_C2B1
r3213tfnfx7,2.0,C1B2_C2B1
w3213vn90m6,1.625,C1B2_C2B1
v3213q4t8ni,1.6363636363636365,C1B2_C2B1
k32132kahr6,1.7714285714285714,C1B2_C2B1
l3213ufs672,1.9,C1B2_C2B1
u32125746tb,1.75,C1B2_C2B1
j3212zbok81,1.7272727272727273,C1B2_C2B1
w32129ennly,1.7777777777777777,C1B2_C2B1
j32125zwixu,1.8333333333333333,C1B2_C2B1
h321213lgnh,2.0,C1B2_C2B1
r3212ez70zi,1.5384615384615383,C1B2_C2B1
a32202i4x5w,2.0,C1B2_C2B1
j3212ivmp4j,1.9230769230769231,C1B2_C2B1
z3212brsau2,1.9090909090909087,C1B2_C2B1
q3212jedwe3,2.0,C1B2_C2B1
z3212xyh3rb,2.0,C1B2_C2B1
o3212h48xej,2.0,C1B2_C2B1
o3212na41q1,2.0,C1B2_C2B1
r3212tmuyrl,1.6666666666666667,C1B2_C2B1
a3211k58ekk,1.6363636363636365,C1B2_C2B1
a3220js1e5p,2.0,C1B2_C2B1
r3211dc0eer,1.5,C1B2_C2B1
z3211hpjr3z,2.0,C1B2_C2B1
a3211h5pdsr,1.6,C1B2_C2B1
x3111teymss,1.6666666666666667,C1B2_C2B1
q31333lkk5k,2.0,C1B2_C2B1
v31326tr3d4,2.0,C1B2_C2B1
i3150djp3w6,1.7333333333333334,C1B2_C2B1
f32202cjyf7,1.8571428571428568,C1B2_C2B1
a3220f4m8zt,1.5333333333333334,C1B2_C2B1
o3114sgs6xv,1.72,C1B2_C2B1
m3108i0j7f2,1.5,C1B2_C2B1
l3081p6ocjl,1.84,C1B2_C2B1
b3220sfp5zd,1.5,C1B2_C2B1
x3111nm2y78,1.8225806451612905,C1B2_C2B1
n3220ergwgc,1.818181818181818,C1B2_C2B1
o3104hvxv87,2.0,C1B2_C2B1
q3120s0beqh,1.9666666666666663,C1B2_C2B1
w3111ouznar,1.903225806451613,C1B2_C2B1
b3113lohop6,1.5806451612903225,C1B2_C2B1
t3112vkhefj,1.5,C1B2_C2B1
m31353lv8b0,1.5696202531645569,C1B2_C2B1
r3105gqiydr,2.0,C1B2_C2B1
t3082310os0,2.0,C1B2_C2B1
w311097scer,2.0,C1B2_C2B1
i3109uabs5e,1.8941176470588237,C1B2_C2B1
b3140ugp3ku,1.5432098765432098,C1B2_C2B1
r32193ryx3m,1.6666666666666667,C1B2_C2B1
q0034gukkxi,2.0,C1B2_C2B1
z3219jfclpn,1.9285714285714288,C1B2_C2B1
z3219chsdvd,2.0,C1B2_C2B1
g30787l88pi,1.5588235294117647,C1B2_C2B1
b3111yijt8t,1.7741935483870968,C1B2_C2B1
y00348k1e7f,1.7241379310344829,C1B2_C2B1
x30788egja4,1.9,C1B2_C2B1
c31188zpzyx,2.0,C1B2_C2B1
l09754qhi1b,1.6804123711340206,C1B2_C2B1
x3105k82ep3,1.5985401459854014,C1B2_C2B1
y0980ldvqwv,1.8888888888888888,C1B2_C2B1
g0977ij46j1,2.0,C1B2_C2B1
l3079fhfb34,1.52,C1B2_C2B1
l3115hvyuga,1.5,C1B2_C2B1
r3219zybo2x,1.6666666666666667,C1B2_C2B1
v3102692rxy,2.0,C1B2_C2B1
o3152zs91qc,1.565217391304348,C1B2_C2B1
g0975qtdj0j,1.5416666666666667,C1B2_C2B1
q3105x8m3ky,1.6,C1B2_C2B1
l3102lxrapo,1.5384615384615383,C1B2_C2B1
x3104v9t4bl,2.0,C1B2_C2B1
w3101718clp,1.5,C1B2_C2B1
q3079dxrpiv,1.5490196078431373,C1B2_C2B1
s3102rfny84,1.9,C1B2_C2B1
k3111uyc5r1,1.9464285714285716,C1B2_C2B1
y3107imaq85,2.0,C1B2_C2B1
y0976jn4m03,2.0,C1B2_C2B1
s311478subv,1.9090909090909087,C1B2_C2B1
a3079ovfaah,1.9545454545454544,C1B2_C2B1
x3102s7r4kr,2.0,C1B2_C2B1
z3127g7ooek,1.588235294117647,C1B2_C2B1
k30824bj512,1.818181818181818,C1B2_C2B1
a3082ftwcim,2.0,C1B2_C2B1
e314231ozk4,1.7272727272727273,C1B2_C2B1
z3103xb1kyt,1.5,C1B2_C2B1
n3116j7951i,1.8846153846153848,C1B2_C2B1
z3102ivzdpb,2.0,C1B2_C2B1
f3080tvinfx,1.5535714285714286,C1B2_C2B1
v3102yiyiaa,1.9090909090909087,C1B2_C2B1
e31108uvkv2,2.0,C1B2_C2B1
d3232x1uiwv,1.655367231638418,C1B2_C2B1
z3232nouq5k,1.7073170731707317,C1B2_C2B1
j32325cnl5j,1.5735294117647058,C1B2_C2B1
c3232rmvkvv,1.6428571428571428,C1B2_C2B1
o3231bww6jd,1.818181818181818,C1B2_C2B1
z3229jh58jr,1.9375,C1B2_C2B1
y3228rdwwzg,2.0,C1B2_C2B1
w32289hwhqh,1.5,C1B2_C2B1
l3227kwgsxd,2.0,C1B2_C2B1
